column,dtype,missing_count,missing_rate,n_unique
Booking_ID,str,0,0.0,36275
no_of_adults,int64,0,0.0,5
no_of_children,int64,0,0.0,6
no_of_weekend_nights,int64,0,0.0,8
no_of_week_nights,int64,0,0.0,18
type_of_meal_plan,str,0,0.0,4
required_car_parking_space,int64,0,0.0,2
room_type_reserved,str,0,0.0,7
lead_time,int64,0,0.0,352
arrival_year,int64,0,0.0,2
arrival_month,int64,0,0.0,12
arrival_date,int64,0,0.0,31
market_segment_type,str,0,0.0,5
repeated_guest,int64,0,0.0,2
no_of_previous_cancellations,int64,0,0.0,9
no_of_previous_bookings_not_canceled,int64,0,0.0,59
avg_price_per_room,float64,0,0.0,3930
no_of_special_requests,int64,0,0.0,6
booking_status,str,0,0.0,2
