arrival_date_month,count,cancellations,cancel_rate,share_of_rows
January,5929,1807,0.3047731489289931,0.049660775609347514
February,8068,2696,0.3341596430342092,0.06757684898232683
March,9794,3149,0.3215233816622422,0.08203367116173883
April,11089,4524,0.4079718640093787,0.092880475751738
May,11791,4677,0.39665846832329743,0.09876036518971439
June,10939,4535,0.4145717158789652,0.09162408911969176
July,12661,4742,0.37453597662112,0.10604740765558254
August,13877,5239,0.3775311666786769,0.11623251528603736
September,10508,4116,0.3917015607156452,0.08801407153027892
October,11160,4246,0.3804659498207885,0.09347516542423989
November,6794,2122,0.3123344127171033,0.05690593852081414
December,6780,2371,0.3497050147492625,0.056788675768489824
