hotel,deposit_type,error_type,rows,share_in_error_type
City Hotel,No Deposit,FN,104,0.5909090909090909
City Hotel,No Deposit,FP,3882,0.7580550673696543
City Hotel,No Deposit,TN,3269,0.5723039215686274
City Hotel,No Deposit,TP,3518,0.5118579950531064
City Hotel,Non Refund,TP,1228,0.17867015859159027
City Hotel,Refundable,TP,9,0.0013094718463553033
Resort Hotel,No Deposit,FN,72,0.4090909090909091
Resort Hotel,No Deposit,FP,1238,0.24174965826986916
Resort Hotel,No Deposit,TN,2443,0.42769607843137253
Resort Hotel,No Deposit,TP,2012,0.29273970609631894
Resort Hotel,Non Refund,FP,1,0.00019527436047646945
Resort Hotel,Non Refund,TP,96,0.013967699694456569
Resort Hotel,Refundable,TP,10,0.0014549687181725592
