booking_id,hotel,arrival_date,deposit_type,market_segment,customer_type,booking_value,risk_score,risk_category,expected_loss,business_priority_score,recommended_action,is_canceled,pred,error_type
105127,Resort Hotel,2017-06-09,No Deposit,Direct,Transient,780.0,0.9966134801084132,Critical,777.3585144845623,777.3585144845623,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",0,1,FP
105466,City Hotel,2017-06-11,No Deposit,Online TA,Transient,763.2,0.9430491993761245,Critical,719.7351489638583,719.7351489638583,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",0,1,FP
103605,City Hotel,2017-06-02,No Deposit,Online TA,Transient,648.0,0.9389575853151066,Critical,608.4445152841892,608.4445152841892,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",0,1,FP
117190,City Hotel,2017-08-18,No Deposit,Online TA,Transient,375.29999999999995,0.938837558502951,Critical,352.3457357061575,352.3457357061575,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",0,1,FP
114967,Resort Hotel,2017-08-05,No Deposit,Online TA,Transient,1680.0,0.9369128988989791,Critical,1574.013670150285,1574.013670150285,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",0,1,FP
114860,City Hotel,2017-08-04,No Deposit,Online TA,Transient,270.0,0.9365042134557262,Critical,252.85613763304607,252.85613763304607,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",0,1,FP
108435,City Hotel,2017-06-28,No Deposit,Online TA,Transient,653.38,0.9359224924690647,Critical,611.5130381294375,611.5130381294375,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",0,1,FP
107464,City Hotel,2017-06-22,No Deposit,Online TA,Transient,540.0,0.9346388111394542,Critical,504.7049580153053,504.7049580153053,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",0,1,FP
108029,City Hotel,2017-06-26,No Deposit,Online TA,Transient,579.0,0.9340001088645017,Critical,540.7860630325465,540.7860630325465,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",0,1,FP
109104,City Hotel,2017-07-01,No Deposit,Online TA,Transient,198.0,0.9336889813133229,Critical,184.87041830003793,184.87041830003793,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",0,1,FP
105431,City Hotel,2017-06-11,No Deposit,Online TA,Transient,504.0,0.9336725460912734,Critical,470.5709632300018,470.5709632300018,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",0,1,FP
117721,City Hotel,2017-08-21,No Deposit,Online TA,Transient,742.5,0.9323686989212171,Critical,692.2837589490036,692.2837589490036,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",0,1,FP
107458,City Hotel,2017-06-22,No Deposit,Online TA,Transient,666.0,0.9317266825387143,Critical,620.5299705707837,620.5299705707837,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",0,1,FP
116379,City Hotel,2017-08-14,No Deposit,Online TA,Transient,480.0,0.930254473143011,Critical,446.5221471086453,446.5221471086453,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",0,1,FP
108899,City Hotel,2017-06-30,No Deposit,Online TA,Transient,545.4,0.9297265516025597,Critical,507.072861244036,507.072861244036,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",0,1,FP
