booking_id,hotel,arrival_date,deposit_type,market_segment,customer_type,booking_value,risk_score,risk_category,expected_loss,business_priority_score,recommended_action,is_canceled
112747,Resort Hotel,2017-07-22,No Deposit,Online TA,Transient,2543.021999999997,0.95988244582619,Critical,2441.002177149807,2441.002177149807,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
111893,Resort Hotel,2017-07-17,No Deposit,Online TA,Transient,2543.021999999997,0.9312336922382164,Critical,2368.147766503011,2368.147766503011,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
118773,Resort Hotel,2017-08-28,No Deposit,Online TA,Transient,2543.021999999997,0.9264331925995628,Critical,2355.939990310923,2355.939990310923,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
112471,Resort Hotel,2017-07-21,No Deposit,Online TA,Transient,2543.021999999997,0.9178668458754552,Critical,2334.1555821318893,2334.1555821318893,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
115447,Resort Hotel,2017-08-07,No Deposit,Online TA,Transient,2543.021999999997,0.9015742487512716,Critical,2292.7231492079536,2292.7231492079536,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
118405,Resort Hotel,2017-08-26,No Deposit,Online TA,Transient,2543.021999999997,0.8999676087791871,Critical,2288.6374284128633,2288.6374284128633,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
111303,Resort Hotel,2017-07-14,No Deposit,Online TA,Transient,2543.021999999997,0.8997556307132529,Critical,2288.0983635276752,2288.0983635276752,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
114314,Resort Hotel,2017-08-01,No Deposit,Online TA,Transient,2543.021999999997,0.8977664611512565,Critical,2283.039861569788,2283.039861569788,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
115215,City Hotel,2017-08-06,No Deposit,Online TA,Transient,2433.6200000000003,0.9364759966840951,Critical,2279.026715050348,2279.026715050348,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
103870,Resort Hotel,2017-06-03,No Deposit,Online TA,Transient,2543.021999999997,0.8828928556611748,Critical,2245.2159555891894,2245.2159555891894,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
111786,Resort Hotel,2017-07-16,No Deposit,Online TA,Transient,2543.021999999997,0.8809215251987494,Critical,2240.2028188539716,2240.2028188539716,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
114160,Resort Hotel,2017-07-31,No Deposit,Online TA,Transient,2543.021999999997,0.8798323105926592,Critical,2237.432922147963,2237.432922147963,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",0
109458,Resort Hotel,2017-07-03,No Deposit,Online TA,Transient,2543.021999999997,0.877620104972599,Critical,2231.807234587626,2231.807234587626,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
111913,Resort Hotel,2017-07-17,No Deposit,Online TA,Transient,2543.021999999997,0.8769130614072673,Critical,2230.0092072460293,2230.0092072460293,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
113307,City Hotel,2017-07-26,No Deposit,Online TA,Transient,2475.0,0.8977987833976502,Critical,2222.0519889091843,2222.0519889091843,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
113297,City Hotel,2017-07-26,No Deposit,Online TA,Transient,2475.0,0.8977987833976502,Critical,2222.0519889091843,2222.0519889091843,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
